"Geographic Area Name (NAME)","2022 NAICS code (NAICS2022)","Meaning of NAICS code (NAICS2022_LABEL)","Year (YEAR)","Number of firms (FIRM)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue ($1,000) (RCPTOT)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)","Production and/or development and exploration workers annual wages ($1,000) (PAYANPW)","Production workers first-quarter payroll ($1,000) (PAYQ1PW)","Production and/or development and exploration workers for pay period including March 12 (EMPQ1PW)","Construction, production and/or development and exploration workers annual hours (1,000) (HOURS)","Other employees annual wages ($1,000) (PAYANOM)","Other employees first-quarter payroll ($1,000) (PAYQ1OM)","Other employees for pay period including March 12 (EMPQ1OM)","Total fringe benefits ($1,000) (BENEFIT)","Employer's cost for health insurance ($1,000) (BENHEA)","Employer's cost for defined benefit pension plans ($1,000) (BENPEB)","Employer's cost for defined contribution plans ($1,000) (BENPEC)","Employer's cost for other fringe benefits ($1,000) (BENOTH)","Total cost of supplies and/or materials ($1,000) (CSTMTOT)","Cost of materials, components, packaging and/or supplies used, minerals received, or purchased machinery installed ($1,000) (CSTMPRT)","Cost of resales ($1,000) (CSTRSL)","Cost of contract work ($1,000) (CSTCNT)","Cost of purchased fuels consumed ($1,000) (CSTFU)","Cost of purchased electricity ($1,000) (CSTELEC)","Quantity of electricity purchased for heat and power (1,000 kWh) (ELECPCH)","Quantity of generated electricity (1,000 kWh) (ELECGEN)","Quantity of electricity sold or transferred (1,000 kWh) (ELECSLD)","Value added ($1,000) (VALADD)","Total inventories, beginning of year ($1,000) (INVTOTB)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, beginning of year ($1,000) (INVFINB)","Work-in-process inventories, beginning of year ($1,000) (INVWIPB)","Materials and/or supplies, parts, fuels, etc. inventories, beginning of year ($1,000) (INVMATB)","Total inventories, end of year ($1,000) (INVTOTE)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, end of year ($1,000) (INVFINE)","Work-in-process inventories, end of year ($1,000) (INVWIPE)","Materials and/or supplies, parts, fuels, etc. inventories, end of year ($1,000) (INVMATE)","Gross value of depreciable assets (acquisition costs), beginning of year ($1,000) (ASTBGN)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, beginning of year ($1,000) (ASTBBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, beginning of year ($1,000) (ASTBMCH)","Total capital expenditures for buildings, structures, machinery, and equipment (new and used) ($1,000) (CEXTOT)","Capital expenditures for buildings and other structures ($1,000) (CEXBLD)","Capital expenditures for machinery and equipment ($1,000) (CEXMCH)","Capital expenditures for automobiles, trucks, etc. for highway use ($1,000) (CEXMCHA)","Capital expenditures for computers and peripheral data processing equipment ($1,000) (CEXMCHC)","Capital expenditures for all other machinery and equipment ($1,000) (CEXMCHO)","Total retirements ($1,000) (ASRET)","Retirements for buildings and other structures ($1,000) (ASRBLD)","Retirements for machinery and equipment ($1,000) (ASRMCH)","Gross value of depreciable assets (acquisition costs, end of year) ($1,000) (ASTEND)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, end of year ($1,000) (ASTEBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, end of year ($1,000) (ASTEMCH)","Total depreciation during year ($1,000) (DPRTOT)","Total rental payments or lease payments ($1,000) (RPTOT)","Rental payments or lease payments for buildings and other structures ($1,000) (RPBLD)","Rental payments or lease payments for machinery and equipment ($1,000) (RPMCH)","Total other operating expenses ($1,000) (PCHTT)","Temporary staff and leased employee expenses ($1,000) (PCHTEMP)","Expensed computer hardware and other equipment ($1,000) (PCHCMPQ)","Expensed purchases of software ($1,000) (PCHEXSO)","Data processing and other purchased computer services ($1,000) (PCHDAPR)","Communication services ($1,000) (PCHCSVC)","Repair and maintenance services of buildings and/or machinery ($1,000) (PCHRPR)","Refuse removal (including hazardous waste) services ($1,000) (PCHRFUS)","Advertising and promotional services ($1,000) (PCHADVT)","Purchased professional and technical services ($1,000) (PCHPRTE)","Taxes and license fees ($1,000) (PCHTAX)","All other operating expenses ($1,000) (PCHOEXP)","Range indicating imputed percentage of total sales, value of shipments, or revenue (RCPTOT_IMP)","Range indicating imputed percentage of total annual payroll (PAYANN_IMP)","Range indicating imputed percentage of total employees (EMP_IMP)"
"United States","31-33","Manufacturing","2022","240,644","286,626","7,048,663,670","812,731,156","201,632,663","12,171,365","475,964,699","116,150,112","8,674,072","16,886,652","336,766,457","85,482,551","3,497,293","233,265,580","93,502,975","13,462,365","25,946,452","100,353,788","4,075,986,813","3,772,629,064","141,413,952","54,472,432","48,044,551","59,426,814","805,450,112","113,049,671","33,140,365","3,034,384,429","812,322,481","283,606,276","220,223,684","308,492,521","916,172,437","320,671,836","244,865,696","350,634,905","2,855,865,696","711,428,367","2,144,437,329","190,882,032","43,240,211","147,641,821","7,564,358","6,980,154","133,097,309","60,043,413","11,417,130","48,626,283","2,986,704,315","743,251,448","2,243,452,867","217,577,049","45,188,183","31,565,596","13,622,587","437,150,469","43,988,096","6,846,246","6,612,336","6,216,698","6,191,081","67,589,949","17,434,029","15,796,202","38,271,130","23,575,293","204,629,409","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"United States","311","Food Manufacturing","2022","24,888","29,780","1,039,160,583","88,540,089","21,229,975","1,646,880","62,397,956","14,854,417","1,308,930","2,589,595","26,142,133","6,375,558","337,950","24,166,279","10,152,563","1,072,196","1,971,171","10,970,349","665,678,415","636,287,126","14,264,928","3,029,168","5,068,364","7,028,829","87,048,357","5,056,032","246,700","379,609,606","69,020,607","33,832,881","8,059,371","27,128,355","78,969,282","39,702,721","8,316,969","30,949,592","330,103,777","95,423,041","234,680,736","20,812,892","5,102,808","15,710,084","587,009","424,218","14,698,857","5,858,841","1,295,544","4,563,297","345,057,828","99,230,305","245,827,523","23,360,184","5,174,895","3,220,204","1,954,691","51,689,297","7,175,727","445,631","327,019","303,128","456,737","9,514,931","3,527,261","3,138,526","3,170,461","2,098,331","21,531,545","30% to less than 40%","20% to less than 30%","20% to less than 30%"
"United States","3111","Animal Food Manufacturing","2022","1,241","1,916","74,730,488","3,970,074","970,540","61,902","2,525,030","610,150","45,294","94,706","1,445,044","360,390","16,608","1,076,100","467,912","47,166","108,409","452,613","50,798,678","48,699,984","1,257,670","144,233","268,748","428,043","5,316,884","1,749","0","24,209,153","4,479,009","1,887,958","233,499","2,357,552","5,194,802","2,151,464","247,336","2,796,002","22,734,523","6,953,272","15,781,251","1,519,538","447,729","1,071,809","72,274","36,959","962,576","352,186","75,826","276,360","23,901,875","7,325,175","16,576,700","1,480,235","253,524","136,765","116,759","3,210,214","229,259","37,756","16,897","25,161","31,200","618,967","168,497","153,017","167,952","139,967","1,621,541","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"United States","31111","Animal Food Manufacturing","2022","1,241","1,916","74,730,488","3,970,074","970,540","61,902","2,525,030","610,150","45,294","94,706","1,445,044","360,390","16,608","1,076,100","467,912","47,166","108,409","452,613","50,798,678","48,699,984","1,257,670","144,233","268,748","428,043","5,316,884","1,749","0","24,209,153","4,479,009","1,887,958","233,499","2,357,552","5,194,802","2,151,464","247,336","2,796,002","22,734,523","6,953,272","15,781,251","1,519,538","447,729","1,071,809","72,274","36,959","962,576","352,186","75,826","276,360","23,901,875","7,325,175","16,576,700","1,480,235","253,524","136,765","116,759","3,210,214","229,259","37,756","16,897","25,161","31,200","618,967","168,497","153,017","167,952","139,967","1,621,541","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"United States","311111","Dog and Cat Food Manufacturing","2022","358","456","27,453,629","2,024,621","496,156","30,337","1,371,639","330,820","23,652","51,389","652,982","165,336","6,685","536,802","241,579","27,863","52,534","214,826","14,077,744","13,429,256","376,940","48,600","96,526","126,422","1,473,723","D","0","13,572,379","1,824,426","922,867","84,480","817,079","2,244,502","1,103,690","100,151","1,040,661","13,699,400","4,207,889","9,491,511","957,600","276,657","680,943","10,365","23,378","647,200","233,344","36,356","196,988","14,423,656","4,448,190","9,975,466","863,521","94,701","50,567","44,134","1,697,999","105,520","14,159","7,960","11,525","11,936","331,567","96,623","112,850","84,162","55,207","866,490","50% to less than 60%","40% to less than 50%","30% to less than 40%"
"United States","311119","Other Animal Food Manufacturing","2022","890","1,460","47,276,859","1,945,453","474,384","31,565","1,153,391","279,330","21,642","43,317","792,062","195,054","9,923","539,298","226,333","19,303","55,875","237,787","36,720,934","35,270,728","880,730","95,633","172,222","301,621","3,843,161","D","0","10,636,774","2,654,583","965,091","149,019","1,540,473","2,950,300","1,047,774","147,185","1,755,341","9,035,123","2,745,383","6,289,740","561,938","171,072","390,866","61,909","13,581","315,376","118,842","39,470","79,372","9,478,219","2,876,985","6,601,234","616,714","158,823","86,198","72,625","1,512,215","123,739","23,597","8,937","13,636","19,264","287,400","71,874","40,167","83,790","84,760","755,051","20% to less than 30%","20% to less than 30%","20% to less than 30%"
"United States","3112","Grain and Oilseed Milling","2022","628","981","130,432,621","4,096,994","1,007,741","58,358","2,660,866","645,221","45,108","92,913","1,436,128","362,520","13,250","1,214,910","495,311","88,680","116,383","514,536","98,584,305","90,960,984","5,073,970","322,274","1,129,173","1,097,904","15,881,210","D","D","32,910,865","7,678,556","3,184,276","923,039","3,571,241","9,168,340","4,031,082","1,138,782","3,998,476","39,389,012","9,854,052","29,534,960","2,312,150","600,420","1,711,730","87,031","42,134","1,582,565","430,741","91,768","338,973","41,270,421","10,362,704","30,907,717","2,542,297","317,704","143,067","174,637","3,526,390","202,194","35,314","13,055","25,870","27,588","882,416","312,488","91,203","197,425","170,982","1,567,855","30% to less than 40%","20% to less than 30%","20% to less than 30%"
"United States","31121","Flour Milling and Malt Manufacturing","2022","339","516","24,076,040","1,335,621","327,731","21,720","897,764","218,218","16,951","34,314","437,857","109,513","4,769","363,079","159,578","16,030","37,635","149,836","16,493,649","15,385,813","D","D","120,571","319,795","4,089,449","16,636","D","7,770,074","2,130,316","666,068","178,099","1,286,149","2,510,698","820,104","211,746","1,478,848","9,502,066","2,673,732","6,828,334","422,369","89,300","333,069","15,735","16,174","301,160","231,444","71,168","160,276","9,692,991","2,691,864","7,001,127","528,705","97,641","50,878","46,763","1,008,140","70,936","18,206","4,391","10,498","10,952","194,961","39,519","42,398","50,151","49,732","516,396","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"United States","311211","Flour Milling","2022","238","374","18,525,930","958,808","236,579","15,032","646,419","157,637","11,770","24,007","312,389","78,942","3,262","254,628","110,313","8,047","26,680","109,588","12,562,947","11,711,439","482,488","53,650","76,222","239,148","3,003,390","D","D","6,093,581","1,277,967","395,481","90,538","791,948","1,570,112","509,370","107,247","953,495","6,996,747","1,902,772","5,093,975","336,703","72,561","264,142","6,882","15,439","241,821","187,663","60,493","127,170","7,145,787","1,914,840","5,230,947","385,373","73,461","37,053","36,408","652,002","40,870","11,501","2,418","8,166","8,239","131,007","16,456","14,172","33,103","31,817","354,253","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"United States","311212","Rice Milling","2022","67","93","4,554,571","315,530","76,375","5,827","214,825","52,253","4,623","9,144","100,705","24,122","1,204","86,572","38,915","7,448","6,882","33,327","3,277,387","3,066,637","92,251","D","D","63,364","904,245","D","0","1,304,226","668,272","211,338","63,418","393,516","741,536","228,728","73,070","439,738","1,807,538","550,775","1,256,763","66,829","10,352","56,477","8,714","694","47,069","42,149","D","D","1,832,218","551,348","1,280,870","102,145","18,274","8,544","9,730","296,204","28,710","5,875","1,823","2,016","2,127","57,751","10,991","27,189","13,458","13,123","133,141","20% to less than 30%","30% to less than 40%","30% to less than 40%"
"United States","311213","Malt Manufacturing","2022","37","49","995,539","61,283","14,777","861","36,520","8,328","558","1,163","24,763","6,449","303","21,879","10,350","535","4,073","6,921","653,315","607,737","D","D","D","17,283","181,814","0","0","372,267","184,077","59,249","24,143","100,685","199,050","82,006","31,429","85,615","697,781","220,185","477,596","18,837","6,387","12,450","139","41","12,270","1,632","D","D","714,986","225,676","489,310","41,187","5,906","5,281","625","59,934","1,356","830","150","316","586","6,203","12,072","1,037","3,590","4,792","29,002","Less than 10%","Less than 10%","10% to less than 20%"
"United States","31122","Starch and Vegetable Fats and Oils Manufacturing","2022","221","363","95,380,938","1,869,790","458,726","24,497","1,106,551","263,725","18,236","37,560","763,239","195,001","6,261","538,534","223,960","50,809","47,149","216,616","75,876,496","69,506,330","4,488,359","232,968","955,662","693,177","10,672,347","D","D","20,365,629","5,203,117","2,459,374","719,086","2,024,657","6,258,991","3,141,594","898,053","2,219,344","22,848,997","5,513,008","17,335,989","1,619,624","464,130","1,155,494","70,290","21,876","1,063,328","149,551","15,629","133,922","24,319,070","5,961,509","18,357,561","1,699,329","202,133","83,128","119,005","2,244,042","91,758","14,653","6,790","14,080","14,959","625,897","250,773","41,618","133,641","99,432","950,441","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"United States","311221","Wet Corn Milling and Starch Manufacturing","2022","40","79","17,480,531","738,746","181,658","7,822","400,933","97,774","5,301","11,571","337,813","83,884","2,521","196,940","84,506","13,559","19,451","79,424","11,370,541","10,217,234","88,748","113,378","596,674","354,507","5,775,860","D","D","6,118,707","1,002,173","422,492","113,481","466,200","1,051,258","426,852","117,838","506,568","10,249,502","2,125,676","8,123,826","277,091","17,794","259,297","D","D","252,065","53,278","4,082","49,196","10,473,315","2,139,388","8,333,927","809,633","62,738","27,934","34,804","768,279","31,436","6,363","1,093","8,314","3,915","210,028","131,995","7,039","57,072","36,398","274,626","40% to less than 50%","50% to less than 60%","50% to less than 60%"
"United States","311224","Soybean and Other Oilseed Processing","2022","97","169","60,052,658","658,258","159,109","8,934","403,474","91,840","6,793","13,835","254,784","67,269","2,141","201,485","81,273","26,657","16,051","77,504","50,765,840","45,732,949","D","D","322,128","282,688","4,202,894","D","0","9,631,905","2,694,807","1,335,807","356,059","1,002,941","3,161,680","1,564,127","472,826","1,124,727","9,453,729","2,567,479","6,886,250","934,316","171,695","762,621","45,056","7,739","709,826","63,675","7,461","56,214","10,324,370","2,731,713","7,592,657","670,306","91,284","23,814","67,470","938,337","23,178","4,888","1,887","3,061","7,370","324,011","85,639","21,641","30,062","42,603","393,997","30% to less than 40%","10% to less than 20%","20% to less than 30%"
"United States","311225","Fats and Oils Refining and Blending","2022","91","115","17,847,749","472,786","117,959","7,741","302,144","74,111","6,142","12,154","170,642","43,848","1,599","140,109","58,181","10,593","11,647","59,688","13,740,115","13,556,147","D","D","36,860","55,982","693,593","D","0","4,615,017","1,506,137","701,075","249,546","555,516","2,046,053","1,150,615","307,389","588,049","3,145,766","819,853","2,325,913","408,217","274,641","133,576","D","D","101,437","32,598","4,086","28,512","3,521,385","1,090,408","2,430,977","219,390","48,111","31,380","16,731","537,426","37,144","3,402","3,810","2,705","3,674","91,858","33,139","12,938","46,507","20,431","281,818","20% to less than 30%","30% to less than 40%","40% to less than 50%"
"United States","31123","Breakfast Cereal Manufacturing","2022","77","102","10,975,643","891,583","221,284","12,141","656,551","163,278","9,921","21,039","235,032","58,006","2,220","313,297","111,773","21,841","31,599","148,084","6,214,160","6,068,841","D","D","52,940","84,932","1,119,414","0","D","4,775,162","345,123","58,834","25,854","260,435","398,651","69,384","28,983","300,284","7,037,949","1,667,312","5,370,637","270,157","46,990","223,167","1,006","4,084","218,077","49,746","4,971","44,775","7,258,360","1,709,331","5,549,029","314,263","17,930","9,061","8,869","274,208","39,500","2,455","1,874","1,292","1,677","61,558","22,196","7,187","13,633","21,818","101,018","40% to less than 50%","10% to less than 20%","Less than 10%"
"United States","311230","Breakfast Cereal Manufacturing","2022","77","102","10,975,643","891,583","221,284","12,141","656,551","163,278","9,921","21,039","235,032","58,006","2,220","313,297","111,773","21,841","31,599","148,084","6,214,160","6,068,841","D","D","52,940","84,932","1,119,414","0","D","4,775,162","345,123","58,834","25,854","260,435","398,651","69,384","28,983","300,284","7,037,949","1,667,312","5,370,637","270,157","46,990","223,167","1,006","4,084","218,077","49,746","4,971","44,775","7,258,360","1,709,331","5,549,029","314,263","17,930","9,061","8,869","274,208","39,500","2,455","1,874","1,292","1,677","61,558","22,196","7,187","13,633","21,818","101,018","40% to less than 50%","10% to less than 20%","Less than 10%"
"United States","3113","Sugar and Confectionery Product Manufacturing","2022","1,773","1,964","42,128,019","4,880,113","1,180,626","85,839","3,216,594","778,816","64,593","125,691","1,663,519","401,810","21,246","1,606,838","633,863","124,464","159,476","689,035","24,165,051","22,582,852","696,377","143,185","391,069","351,568","4,468,637","540,685","2,297","18,646,681","5,950,544","2,801,924","791,832","2,356,788","6,954,121","3,456,555","820,914","2,676,652","24,174,852","7,896,661","16,278,191","1,209,602","237,787","971,815","19,560","33,881","918,374","420,430","48,885","371,545","24,964,024","8,085,563","16,878,461","1,587,804","505,810","371,789","134,021","2,877,338","342,921","17,936","24,625","14,680","25,084","406,697","126,903","297,217","260,827","124,848","1,235,600","30% to less than 40%","20% to less than 30%","20% to less than 30%"
"United States","31131","Sugar Manufacturing","2022","46","76","10,962,064","912,015","216,376","14,111","664,568","159,497","11,926","24,343","247,447","56,879","2,185","310,573","131,217","36,985","29,140","113,231","7,426,950","6,908,225","53,337","45,179","293,760","126,449","1,758,392","D","D","3,757,465","2,642,628","1,266,774","435,566","940,288","3,029,564","1,547,616","377,075","1,104,873","8,159,250","1,194,052","6,965,198","343,294","48,893","294,401","8,290","10,970","275,141","165,040","5,817","159,223","8,337,504","1,237,128","7,100,376","564,973","123,432","61,753","61,679","688,918","14,452","2,284","4,787","1,780","2,363","170,606","50,380","131,036","108,592","43,071","159,567","30% to less than 40%","20% to less than 30%","20% to less than 30%"
"United States","311313","Beet Sugar Manufacturing","2022","12","29","4,359,901","445,938","106,690","7,067","350,350","84,708","6,218","13,228","95,588","21,982","849","149,101","67,867","14,953","13,370","52,911","2,664,146","2,344,146","D","D","188,985","D","1,050,550","D","D","1,651,613","1,160,567","444,588","278,926","437,053","1,151,437","D","D","472,065","2,605,784","411,531","2,194,253","D","D","99,792","D","D","94,154","D","D","D","2,684,112","432,033","2,252,079","150,984","26,797","8,811","17,986","366,320","11,474","520","886","105","726","58,271","31,596","D","83,229","D","52,721","30% to less than 40%","20% to less than 30%","20% to less than 30%"
"United States","311314","Cane Sugar Manufacturing","2022","34","47","6,602,163","466,077","109,686","7,044","314,218","74,789","5,708","11,115","151,859","34,897","1,336","161,472","63,350","22,032","15,770","60,320","4,762,804","4,564,079","D","D","104,775","D","707,842","D","D","2,105,852","1,482,061","822,186","156,640","503,235","1,878,127","D","D","632,808","5,553,466","782,521","4,770,945","D","D","194,609","D","D","180,987","D","D","D","5,653,392","805,095","4,848,297","413,989","96,635","52,942","43,693","322,598","2,978","1,764","3,901","1,675","1,637","112,335","18,784","D","25,363","D","106,846","30% to less than 40%","20% to less than 30%","20% to less than 30%"
"United States","31134","Nonchocolate Confectionery Manufacturing","2022","534","572","11,509,278","1,581,842","380,771","28,650","999,561","243,924","21,356","40,065","582,281","136,847","7,294","485,977","195,286","27,249","54,330","209,112","6,011,056","5,707,566","117,382","52,884","38,435","94,789","1,178,505","D","D","5,657,162","1,062,781","529,843","98,756","434,182","1,277,719","663,927","123,612","490,180","5,561,013","1,797,955","3,763,058","377,443","102,330","275,113","3,837","9,437","261,839","127,950","13,377","114,573","5,810,506","1,886,908","3,923,598","371,376","85,664","67,769","17,895","842,720","161,558","7,491","5,844","3,762","7,564","103,720","29,188","83,700","35,309","29,199","375,385","20% to less than 30%","10% to less than 20%","10% to less than 20%"
"United States","311340","Nonchocolate Confectionery Manufacturing","2022","534","572","11,509,278","1,581,842","380,771","28,650","999,561","243,924","21,356","40,065","582,281","136,847","7,294","485,977","195,286","27,249","54,330","209,112","6,011,056","5,707,566","117,382","52,884","38,435","94,789","1,178,505","D","D","5,657,162","1,062,781","529,843","98,756","434,182","1,277,719","663,927","123,612","490,180","5,561,013","1,797,955","3,763,058","377,443","102,330","275,113","3,837","9,437","261,839","127,950","13,377","114,573","5,810,506","1,886,908","3,923,598","371,376","85,664","67,769","17,895","842,720","161,558","7,491","5,844","3,762","7,564","103,720","29,188","83,700","35,309","29,199","375,385","20% to less than 30%","10% to less than 20%","10% to less than 20%"
"United States","31135","Chocolate and Confectionery Manufacturing","2022","1,208","1,316","19,656,677","2,386,256","583,479","43,078","1,552,465","375,395","31,311","61,283","833,791","208,084","11,767","810,288","307,360","60,230","76,006","366,692","10,727,045","9,967,061","525,658","45,122","58,874","130,330","1,531,740","D","D","9,232,054","2,245,135","1,005,307","257,510","982,318","2,646,838","1,245,012","320,227","1,081,599","10,454,589","4,904,654","5,549,935","488,865","86,564","402,301","7,433","13,474","381,394","127,440","29,691","97,749","10,816,014","4,961,527","5,854,487","651,455","296,714","242,267","54,447","1,345,700","166,911","8,161","13,994","9,138","15,157","132,371","47,335","82,481","116,926","52,578","700,648","40% to less than 50%","20% to less than 30%","30% to less than 40%"
"United States","311351","Chocolate and Confectionery Manufacturing from Cacao Beans","2022","296","324","5,266,311","550,580","143,187","9,054","382,040","99,811","7,207","13,876","168,540","43,376","1,847","172,085","67,444","18,700","15,200","70,741","3,531,160","3,440,586","24,911","7,991","16,988","40,684","469,969","93","0","1,790,829","678,344","286,820","124,362","267,162","771,440","337,046","129,814","304,580","2,854,591","1,003,222","1,851,369","124,343","15,389","108,954","1,425","3,003","104,526","35,620","10,498","25,122","2,943,314","1,008,113","1,935,201","196,714","122,613","99,612","23,001","418,254","57,517","2,057","3,023","2,087","3,549","38,854","9,499","58,585","38,486","16,514","188,083","50% to less than 60%","20% to less than 30%","30% to less than 40%"
"United States","311352","Confectionery Manufacturing from Purchased Chocolate","2022","922","992","14,390,366","1,835,676","440,292","34,024","1,170,425","275,584","24,104","47,407","665,251","164,708","9,920","638,203","239,916","41,530","60,806","295,951","7,195,885","6,526,475","500,747","37,131","41,886","89,646","1,061,771","D","D","7,441,225","1,566,791","718,487","133,148","715,156","1,875,398","907,966","190,413","777,019","7,599,998","3,901,432","3,698,566","364,522","71,175","293,347","6,008","10,471","276,868","91,820","19,193","72,627","7,872,700","3,953,414","3,919,286","454,741","174,101","142,655","31,446","927,446","109,394","6,104","10,971","7,051","11,608","93,517","37,836","23,896","78,440","36,064","512,565","40% to less than 50%","20% to less than 30%","30% to less than 40%"
"United States","3114","Fruit and Vegetable Preserving and Specialty Food Manufacturing","2022","1,674","2,052","89,715,762","9,312,244","2,218,997","168,904","6,855,458","1,618,931","140,253","283,243","2,456,786","600,066","28,651","2,846,689","1,216,502","169,251","223,348","1,237,588","49,036,534","46,469,847","858,216","242,153","613,119","853,199","10,216,437","271,696","11,971","42,103,858","11,100,912","6,268,222","1,424,029","3,408,661","13,265,304","7,467,373","1,649,508","4,148,423","40,132,708","10,553,370","29,579,338","2,053,596","489,052","1,564,544","55,695","56,733","1,452,116","686,111","115,621","570,490","41,500,193","10,926,801","30,573,392","2,822,896","573,986","342,749","231,237","5,479,423","708,822","42,313","28,656","45,412","40,165","930,328","418,428","418,467","300,187","243,634","2,303,011","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"United States","31141","Frozen Food Manufacturing","2022","649","826","43,837,679","4,887,042","1,182,776","95,157","3,732,251","892,315","81,413","163,356","1,154,791","290,461","13,744","1,448,629","634,892","68,618","118,921","626,198","24,346,579","23,005,768","469,392","147,562","230,843","493,014","6,169,812","70,468","D","20,027,739","3,808,118","2,229,625","252,540","1,325,953","4,693,233","2,689,217","329,587","1,674,429","20,535,396","5,594,924","14,940,472","1,159,599","298,951","860,648","24,928","13,601","822,119","336,331","62,006","274,325","21,358,664","5,831,869","15,526,795","1,448,198","292,187","177,151","115,036","2,462,101","397,767","16,578","11,861","17,826","16,098","475,500","212,743","92,845","160,289","103,065","957,529","30% to less than 40%","30% to less than 40%","20% to less than 30%"
"United States","311411","Frozen Fruit, Juice, and Vegetable Manufacturing","2022","140","216","18,310,280","1,525,413","354,088","29,073","1,210,229","276,313","25,204","54,870","315,184","77,775","3,869","505,685","206,541","19,917","54,369","224,858","9,591,808","8,773,400","D","D","130,657","225,831","2,901,944","D","0","8,993,296","2,243,922","1,545,521","183,049","515,352","2,663,385","1,770,929","232,465","659,991","10,321,495","2,392,982","7,928,513","398,415","102,508","295,907","15,633","1,509","278,765","169,077","17,347","151,730","10,550,833","2,478,143","8,072,690","671,549","103,626","57,030","46,596","847,990","118,995","2,250","2,111","5,674","4,027","214,595","98,341","18,166","61,758","47,726","274,347","20% to less than 30%","20% to less than 30%","30% to less than 40%"
"United States","311412","Frozen Specialty Food Manufacturing","2022","513","610","25,527,399","3,361,629","828,688","66,084","2,522,022","616,002","56,209","108,486","839,607","212,686","9,875","942,944","428,351","48,701","64,552","401,340","14,754,771","14,232,368","D","D","100,186","267,183","3,267,868","D","D","11,034,443","1,564,196","684,104","69,491","810,601","2,029,848","918,288","97,122","1,014,438","10,213,901","3,201,942","7,011,959","761,184","196,443","564,741","9,295","12,092","543,354","167,254","44,659","122,595","10,807,831","3,353,726","7,454,105","776,649","188,561","120,121","68,440","1,614,111","278,772","14,328","9,750","12,152","12,071","260,905","114,402","74,679","98,531","55,339","683,182","30% to less than 40%","30% to less than 40%","20% to less than 30%"
"United States","31142","Fruit and Vegetable Canning, Pickling, and Drying","2022","1,040","1,226","45,878,083","4,425,202","1,036,221","73,747","3,123,207","726,616","58,840","119,887","1,301,995","309,605","14,907","1,398,060","581,610","100,633","104,427","611,390","24,689,955","23,464,079","388,824","94,591","382,276","360,185","4,046,625","201,228","D","22,076,119","7,292,794","4,038,597","1,171,489","2,082,708","8,572,071","4,778,156","1,319,921","2,473,994","19,597,312","4,958,446","14,638,866","893,997","190,101","703,896","30,767","43,132","629,997","349,780","53,615","296,165","20,141,529","5,094,932","15,046,597","1,374,698","281,799","165,598","116,201","3,017,322","311,055","25,735","16,795","27,586","24,067","454,828","205,685","325,622","139,898","140,569","1,345,482","40% to less than 50%","30% to less than 40%","30% to less than 40%"
"United States","311421","Fruit and Vegetable Canning","2022","709","822","27,392,979","2,779,005","633,548","44,356","2,021,167","450,073","35,921","73,761","757,838","183,475","8,435","834,887","331,148","53,196","60,403","390,140","16,202,195","15,367,842","295,863","35,052","259,799","243,639","2,599,641","D","9,491","11,985,812","4,939,328","2,860,455","783,261","1,295,612","5,983,884","3,531,851","906,893","1,545,140","12,597,222","3,110,351","9,486,871","524,219","115,918","408,301","27,721","9,119","371,461","276,273","32,816","243,457","12,845,168","3,193,453","9,651,715","976,014","186,537","107,409","79,128","1,919,289","167,774","15,865","11,889","17,030","16,772","292,511","126,776","217,095","84,822","95,887","872,868","40% to less than 50%","30% to less than 40%","30% to less than 40%"
"United States","311422","Specialty Canning","2022","107","122","9,843,597","688,766","170,773","12,146","490,795","129,823","9,814","20,791","197,971","40,950","2,332","240,596","121,225","25,575","16,910","76,886","4,039,166","3,904,472","32,734","12,636","44,758","44,566","643,759","D","D","5,787,084","988,707","578,746","150,265","259,696","993,381","571,991","139,673","281,717","4,006,509","1,081,074","2,925,435","211,320","23,303","188,017","625","31,223","156,169","40,493","18,350","22,143","4,177,336","1,086,027","3,091,309","193,955","26,672","15,495","11,177","482,552","44,026","1,132","1,594","3,749","2,507","85,725","39,729","66,655","21,403","15,794","200,238","20% to less than 30%","30% to less than 40%","20% to less than 30%"
