"Geographic Area Name (NAME)","2022 NAICS code (NAICS2022)","Meaning of NAICS code (NAICS2022_LABEL)","Year (YEAR)","Number of firms (FIRM)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue ($1,000) (RCPTOT)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)","Production and/or development and exploration workers annual wages ($1,000) (PAYANPW)","Production workers first-quarter payroll ($1,000) (PAYQ1PW)","Production and/or development and exploration workers for pay period including March 12 (EMPQ1PW)","Construction, production and/or development and exploration workers annual hours (1,000) (HOURS)","Other employees annual wages ($1,000) (PAYANOM)","Other employees first-quarter payroll ($1,000) (PAYQ1OM)","Other employees for pay period including March 12 (EMPQ1OM)","Total fringe benefits ($1,000) (BENEFIT)","Employer's cost for health insurance ($1,000) (BENHEA)","Employer's cost for defined benefit pension plans ($1,000) (BENPEB)","Employer's cost for defined contribution plans ($1,000) (BENPEC)","Employer's cost for other fringe benefits ($1,000) (BENOTH)","Total cost of supplies and/or materials ($1,000) (CSTMTOT)","Cost of materials, components, packaging and/or supplies used, minerals received, or purchased machinery installed ($1,000) (CSTMPRT)","Cost of resales ($1,000) (CSTRSL)","Cost of contract work ($1,000) (CSTCNT)","Cost of purchased fuels consumed ($1,000) (CSTFU)","Cost of purchased electricity ($1,000) (CSTELEC)","Quantity of electricity purchased for heat and power (1,000 kWh) (ELECPCH)","Quantity of generated electricity (1,000 kWh) (ELECGEN)","Quantity of electricity sold or transferred (1,000 kWh) (ELECSLD)","Value added ($1,000) (VALADD)","Total inventories, beginning of year ($1,000) (INVTOTB)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, beginning of year ($1,000) (INVFINB)","Work-in-process inventories, beginning of year ($1,000) (INVWIPB)","Materials and/or supplies, parts, fuels, etc. inventories, beginning of year ($1,000) (INVMATB)","Total inventories, end of year ($1,000) (INVTOTE)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, end of year ($1,000) (INVFINE)","Work-in-process inventories, end of year ($1,000) (INVWIPE)","Materials and/or supplies, parts, fuels, etc. inventories, end of year ($1,000) (INVMATE)","Gross value of depreciable assets (acquisition costs), beginning of year ($1,000) (ASTBGN)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, beginning of year ($1,000) (ASTBBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, beginning of year ($1,000) (ASTBMCH)","Total capital expenditures for buildings, structures, machinery, and equipment (new and used) ($1,000) (CEXTOT)","Capital expenditures for buildings and other structures ($1,000) (CEXBLD)","Capital expenditures for machinery and equipment ($1,000) (CEXMCH)","Capital expenditures for automobiles, trucks, etc. for highway use ($1,000) (CEXMCHA)","Capital expenditures for computers and peripheral data processing equipment ($1,000) (CEXMCHC)","Capital expenditures for all other machinery and equipment ($1,000) (CEXMCHO)","Total retirements ($1,000) (ASRET)","Retirements for buildings and other structures ($1,000) (ASRBLD)","Retirements for machinery and equipment ($1,000) (ASRMCH)","Gross value of depreciable assets (acquisition costs, end of year) ($1,000) (ASTEND)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, end of year ($1,000) (ASTEBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, end of year ($1,000) (ASTEMCH)","Total depreciation during year ($1,000) (DPRTOT)","Total rental payments or lease payments ($1,000) (RPTOT)","Rental payments or lease payments for buildings and other structures ($1,000) (RPBLD)","Rental payments or lease payments for machinery and equipment ($1,000) (RPMCH)","Total other operating expenses ($1,000) (PCHTT)","Temporary staff and leased employee expenses ($1,000) (PCHTEMP)","Expensed computer hardware and other equipment ($1,000) (PCHCMPQ)","Expensed purchases of software ($1,000) (PCHEXSO)","Data processing and other purchased computer services ($1,000) (PCHDAPR)","Communication services ($1,000) (PCHCSVC)","Repair and maintenance services of buildings and/or machinery ($1,000) (PCHRPR)","Refuse removal (including hazardous waste) services ($1,000) (PCHRFUS)","Advertising and promotional services ($1,000) (PCHADVT)","Purchased professional and technical services ($1,000) (PCHPRTE)","Taxes and license fees ($1,000) (PCHTAX)","All other operating expenses ($1,000) (PCHOEXP)","Range indicating imputed percentage of total sales, value of shipments, or revenue (RCPTOT_IMP)","Range indicating imputed percentage of total annual payroll (PAYANN_IMP)","Range indicating imputed percentage of total employees (EMP_IMP)"
"United States","33324","Industrial Machinery Manufacturing","2022","2,526","2,709","40,225,441","9,841,048","2,695,665","101,850","3,741,201","929,037","56,561","114,312","6,099,847","1,766,628","45,289","2,543,981","1,095,753","52,550","258,174","1,137,504","20,085,973","17,455,353","1,961,287","427,249","54,664","187,420","1,858,182","3,948","43","21,136,925","9,186,578","2,210,848","2,750,436","4,225,294","11,399,136","2,758,673","3,200,068","5,440,395","12,956,024","4,031,154","8,924,870","933,560","306,689","626,871","45,776","48,437","532,658","225,861","50,753","175,108","13,663,723","4,287,090","9,376,633","1,123,362","396,484","337,847","58,637","3,456,069","300,940","91,196","122,458","49,246","75,139","265,387","84,024","126,479","574,438","149,690","1,617,072","40% to less than 50%","30% to less than 40%","30% to less than 40%"
"United States","333241","Food Product Machinery Manufacturing","2022","399","445","6,615,719","1,392,123","336,915","17,243","671,550","157,750","10,661","21,663","720,573","179,165","6,582","342,145","140,854","9,149","41,648","150,494","3,259,479","2,665,339","472,677","90,112","9,194","22,157","227,098","1,538","0","3,528,228","1,289,060","425,470","369,711","493,879","1,566,809","535,395","431,774","599,640","2,157,757","885,608","1,272,149","147,370","53,959","93,411","15,430","6,685","71,296","38,589","6,226","32,363","2,266,538","933,341","1,333,197","132,609","64,605","53,308","11,297","479,381","50,883","11,982","14,812","7,751","11,824","34,722","6,233","33,561","49,926","33,543","224,144","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"United States","333242","Semiconductor Machinery Manufacturing","2022","144","169","13,751,994","3,842,068","1,244,108","26,067","855,436","237,502","10,720","22,309","2,986,632","1,006,606","15,347","1,082,376","482,844","4,414","99,836","495,282","7,077,279","6,496,881","449,492","47,417","12,402","71,087","633,061","D","0","7,029,637","4,040,970","631,922","1,127,372","2,281,676","5,196,397","845,992","1,268,224","3,082,181","5,189,803","1,323,537","3,866,266","420,520","175,625","244,895","1,017","10,329","233,549","65,738","13,641","52,097","5,544,585","1,485,521","4,059,064","523,848","78,607","65,919","12,688","1,328,161","129,690","45,189","61,852","5,496","25,757","118,093","51,606","8,027","346,437","40,727","495,287","60% to less than 70%","30% to less than 40%","20% to less than 30%"
"United States","333243","Sawmill, Woodworking, and Paper Machinery Manufacturing","2022","316","347","3,968,908","914,400","210,847","11,816","463,159","108,498","7,262","14,501","451,241","102,349","4,554","226,648","99,872","7,833","24,799","94,144","1,899,994","1,570,258","232,615","70,411","5,993","20,717","221,195","D","D","2,186,459","750,634","215,660","327,310","207,664","917,479","269,876","390,639","256,964","1,299,265","409,064","890,201","68,815","12,789","56,026","6,971","5,328","43,727","22,629","6,976","15,653","1,345,451","414,877","930,574","103,528","39,805","30,147","9,658","288,136","30,388","7,999","8,159","4,300","7,177","29,109","5,588","10,737","32,933","13,516","138,230","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"United States","333248","All Other Industrial Machinery Manufacturing","2022","1,678","1,748","15,888,820","3,692,457","903,795","46,724","1,751,056","425,287","27,918","55,839","1,941,401","478,508","18,806","892,812","372,183","31,154","91,891","397,584","7,849,221","6,722,875","806,503","219,309","27,075","73,459","776,828","1,141","D","8,392,601","3,105,914","937,796","926,043","1,242,075","3,718,451","1,107,410","1,109,431","1,501,610","4,309,199","1,412,945","2,896,254","296,855","64,316","232,539","22,358","26,095","184,086","98,905","23,910","74,995","4,507,149","1,453,351","3,053,798","363,377","213,467","188,473","24,994","1,360,391","89,979","26,026","37,635","31,699","30,381","83,463","20,597","74,154","145,142","61,904","759,411","20% to less than 30%","20% to less than 30%","30% to less than 40%"
"United States","3333","Commercial and Service Industry Machinery Manufacturing","2022","1,630","1,780","32,058,682","6,315,515","1,566,387","82,115","2,796,917","681,365","47,738","92,076","3,518,598","885,022","34,377","1,722,105","713,328","79,080","252,047","677,650","15,284,225","13,827,570","853,707","418,208","50,393","134,347","1,358,498","D","D","17,165,298","5,189,683","1,604,108","1,274,696","2,310,879","6,120,164","1,766,541","1,503,104","2,850,519","9,180,678","2,705,022","6,475,656","583,121","122,983","460,138","35,137","35,824","389,177","249,514","32,187","217,327","9,514,285","2,795,818","6,718,467","810,462","317,493","259,960","57,533","2,762,101","233,540","45,732","80,703","79,302","64,739","149,486","29,734","189,327","254,803","117,804","1,516,931","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"United States","33331","Commercial and Service Industry Machinery Manufacturing","2022","1,630","1,780","32,058,682","6,315,515","1,566,387","82,115","2,796,917","681,365","47,738","92,076","3,518,598","885,022","34,377","1,722,105","713,328","79,080","252,047","677,650","15,284,225","13,827,570","853,707","418,208","50,393","134,347","1,358,498","D","D","17,165,298","5,189,683","1,604,108","1,274,696","2,310,879","6,120,164","1,766,541","1,503,104","2,850,519","9,180,678","2,705,022","6,475,656","583,121","122,983","460,138","35,137","35,824","389,177","249,514","32,187","217,327","9,514,285","2,795,818","6,718,467","810,462","317,493","259,960","57,533","2,762,101","233,540","45,732","80,703","79,302","64,739","149,486","29,734","189,327","254,803","117,804","1,516,931","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"United States","333310","Commercial and Service Industry Machinery Manufacturing","2022","1,630","1,780","32,058,682","6,315,515","1,566,387","82,115","2,796,917","681,365","47,738","92,076","3,518,598","885,022","34,377","1,722,105","713,328","79,080","252,047","677,650","15,284,225","13,827,570","853,707","418,208","50,393","134,347","1,358,498","D","D","17,165,298","5,189,683","1,604,108","1,274,696","2,310,879","6,120,164","1,766,541","1,503,104","2,850,519","9,180,678","2,705,022","6,475,656","583,121","122,983","460,138","35,137","35,824","389,177","249,514","32,187","217,327","9,514,285","2,795,818","6,718,467","810,462","317,493","259,960","57,533","2,762,101","233,540","45,732","80,703","79,302","64,739","149,486","29,734","189,327","254,803","117,804","1,516,931","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"United States","3334","Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing","2022","1,388","1,701","55,033,779","8,413,315","2,072,279","152,228","4,774,490","1,170,896","108,383","202,378","3,638,825","901,383","43,845","2,391,439","1,035,403","85,262","239,453","1,031,321","28,643,960","26,777,272","1,214,865","347,285","98,483","206,055","2,455,883","835","0","27,639,771","7,463,374","2,379,114","1,063,761","4,020,499","9,771,039","3,359,975","1,332,852","5,078,212","14,194,892","4,312,797","9,882,095","893,462","268,990","624,472","40,200","33,349","550,923","284,532","110,568","173,964","14,803,822","4,471,219","10,332,603","1,243,143","396,223","317,663","78,560","3,576,506","450,158","65,162","47,846","80,780","75,098","298,296","83,181","144,757","285,609","143,255","1,902,364","30% to less than 40%","20% to less than 30%","20% to less than 30%"
"United States","33341","Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing","2022","1,388","1,701","55,033,779","8,413,315","2,072,279","152,228","4,774,490","1,170,896","108,383","202,378","3,638,825","901,383","43,845","2,391,439","1,035,403","85,262","239,453","1,031,321","28,643,960","26,777,272","1,214,865","347,285","98,483","206,055","2,455,883","835","0","27,639,771","7,463,374","2,379,114","1,063,761","4,020,499","9,771,039","3,359,975","1,332,852","5,078,212","14,194,892","4,312,797","9,882,095","893,462","268,990","624,472","40,200","33,349","550,923","284,532","110,568","173,964","14,803,822","4,471,219","10,332,603","1,243,143","396,223","317,663","78,560","3,576,506","450,158","65,162","47,846","80,780","75,098","298,296","83,181","144,757","285,609","143,255","1,902,364","30% to less than 40%","20% to less than 30%","20% to less than 30%"
"United States","333413","Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing","2022","395","473","8,021,174","1,621,232","410,218","30,758","871,859","218,346","21,782","40,984","749,373","191,872","8,976","428,243","186,941","10,676","50,199","180,427","4,104,834","3,709,633","246,936","85,100","20,899","42,266","457,872","77","0","3,955,321","1,076,168","283,445","184,574","608,149","1,222,909","311,358","195,642","715,909","2,124,401","755,390","1,369,011","118,325","25,013","93,312","14,040","6,724","72,548","36,485","10,821","25,664","2,206,241","769,582","1,436,659","207,887","80,918","68,030","12,888","769,136","99,142","8,330","14,620","9,779","13,882","47,746","12,847","34,941","40,672","24,925","462,252","30% to less than 40%","20% to less than 30%","40% to less than 50%"
"United States","333414","Heating Equipment (except Warm Air Furnaces) Manufacturing","2022","321","354","6,859,109","1,143,261","278,768","17,456","585,677","143,168","11,104","21,082","557,584","135,600","6,352","284,426","114,429","8,231","26,320","135,446","3,332,245","2,873,738","378,146","38,625","13,155","28,581","288,240","758","0","3,614,372","1,132,833","369,644","135,433","627,756","1,364,660","441,744","150,841","772,075","1,619,725","580,989","1,038,736","128,255","34,485","93,770","5,522","4,462","83,786","46,295","16,069","30,226","1,701,685","599,405","1,102,280","124,182","58,412","44,310","14,102","519,188","45,906","9,633","5,990","6,394","7,795","28,576","14,080","31,327","50,803","18,165","300,519","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"United States","333415","Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing","2022","688","874","40,153,496","5,648,822","1,383,293","104,014","3,316,954","809,382","75,497","140,312","2,331,868","573,911","28,517","1,678,770","734,033","66,355","162,934","715,448","21,206,881","20,193,901","589,783","223,560","64,429","135,208","1,709,771","0","0","20,070,078","5,254,373","1,726,025","743,754","2,784,594","7,183,470","2,606,873","986,369","3,590,228","10,450,766","2,976,418","7,474,348","646,882","209,492","437,390","20,638","22,163","394,589","201,752","83,678","118,074","10,895,896","3,102,232","7,793,664","911,074","256,893","205,323","51,570","2,288,182","305,110","47,199","27,236","64,607","53,421","221,974","56,254","78,489","194,134","100,165","1,139,593","30% to less than 40%","20% to less than 30%","20% to less than 30%"
