"Geographic Area Name (NAME)","2022 NAICS code (NAICS2022)","Meaning of NAICS code (NAICS2022_LABEL)","Year (YEAR)","Number of firms (FIRM)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue ($1,000) (RCPTOT)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)","Production and/or development and exploration workers annual wages ($1,000) (PAYANPW)","Production workers first-quarter payroll ($1,000) (PAYQ1PW)","Production and/or development and exploration workers for pay period including March 12 (EMPQ1PW)","Construction, production and/or development and exploration workers annual hours (1,000) (HOURS)","Other employees annual wages ($1,000) (PAYANOM)","Other employees first-quarter payroll ($1,000) (PAYQ1OM)","Other employees for pay period including March 12 (EMPQ1OM)","Total fringe benefits ($1,000) (BENEFIT)","Employer's cost for health insurance ($1,000) (BENHEA)","Employer's cost for defined benefit pension plans ($1,000) (BENPEB)","Employer's cost for defined contribution plans ($1,000) (BENPEC)","Employer's cost for other fringe benefits ($1,000) (BENOTH)","Total cost of supplies and/or materials ($1,000) (CSTMTOT)","Cost of materials, components, packaging and/or supplies used, minerals received, or purchased machinery installed ($1,000) (CSTMPRT)","Cost of resales ($1,000) (CSTRSL)","Cost of contract work ($1,000) (CSTCNT)","Cost of purchased fuels consumed ($1,000) (CSTFU)","Cost of purchased electricity ($1,000) (CSTELEC)","Quantity of electricity purchased for heat and power (1,000 kWh) (ELECPCH)","Quantity of generated electricity (1,000 kWh) (ELECGEN)","Quantity of electricity sold or transferred (1,000 kWh) (ELECSLD)","Value added ($1,000) (VALADD)","Total inventories, beginning of year ($1,000) (INVTOTB)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, beginning of year ($1,000) (INVFINB)","Work-in-process inventories, beginning of year ($1,000) (INVWIPB)","Materials and/or supplies, parts, fuels, etc. inventories, beginning of year ($1,000) (INVMATB)","Total inventories, end of year ($1,000) (INVTOTE)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, end of year ($1,000) (INVFINE)","Work-in-process inventories, end of year ($1,000) (INVWIPE)","Materials and/or supplies, parts, fuels, etc. inventories, end of year ($1,000) (INVMATE)","Gross value of depreciable assets (acquisition costs), beginning of year ($1,000) (ASTBGN)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, beginning of year ($1,000) (ASTBBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, beginning of year ($1,000) (ASTBMCH)","Total capital expenditures for buildings, structures, machinery, and equipment (new and used) ($1,000) (CEXTOT)","Capital expenditures for buildings and other structures ($1,000) (CEXBLD)","Capital expenditures for machinery and equipment ($1,000) (CEXMCH)","Capital expenditures for automobiles, trucks, etc. for highway use ($1,000) (CEXMCHA)","Capital expenditures for computers and peripheral data processing equipment ($1,000) (CEXMCHC)","Capital expenditures for all other machinery and equipment ($1,000) (CEXMCHO)","Total retirements ($1,000) (ASRET)","Retirements for buildings and other structures ($1,000) (ASRBLD)","Retirements for machinery and equipment ($1,000) (ASRMCH)","Gross value of depreciable assets (acquisition costs, end of year) ($1,000) (ASTEND)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, end of year ($1,000) (ASTEBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, end of year ($1,000) (ASTEMCH)","Total depreciation during year ($1,000) (DPRTOT)","Total rental payments or lease payments ($1,000) (RPTOT)","Rental payments or lease payments for buildings and other structures ($1,000) (RPBLD)","Rental payments or lease payments for machinery and equipment ($1,000) (RPMCH)","Total other operating expenses ($1,000) (PCHTT)","Temporary staff and leased employee expenses ($1,000) (PCHTEMP)","Expensed computer hardware and other equipment ($1,000) (PCHCMPQ)","Expensed purchases of software ($1,000) (PCHEXSO)","Data processing and other purchased computer services ($1,000) (PCHDAPR)","Communication services ($1,000) (PCHCSVC)","Repair and maintenance services of buildings and/or machinery ($1,000) (PCHRPR)","Refuse removal (including hazardous waste) services ($1,000) (PCHRFUS)","Advertising and promotional services ($1,000) (PCHADVT)","Purchased professional and technical services ($1,000) (PCHPRTE)","Taxes and license fees ($1,000) (PCHTAX)","All other operating expenses ($1,000) (PCHOEXP)","Range indicating imputed percentage of total sales, value of shipments, or revenue (RCPTOT_IMP)","Range indicating imputed percentage of total annual payroll (PAYANN_IMP)","Range indicating imputed percentage of total employees (EMP_IMP)"
"California","33611","Automobile and Light Duty Motor Vehicle Manufacturing","2022","32","32","D","D","D","10,000 to 24,999 employees","D","D","D","D","D","D","3,713","D","D","D","784","D","D","D","D","D","D","D","D","0","0","D","475,527","D","D","D","464,666","120,025","89,911","254,730","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","22,649","D","D","283,350","D","7,674","D","679","D","17,242","D","D","D","D","23,817","D","D","D"
"California","336110","Automobile and Light Duty Motor Vehicle Manufacturing","2022","32","32","D","D","D","10,000 to 24,999 employees","D","D","D","D","D","D","3,713","D","D","D","784","D","D","D","D","D","D","D","D","0","0","D","475,527","D","D","D","464,666","120,025","89,911","254,730","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","22,649","D","D","283,350","D","7,674","D","679","D","17,242","D","D","D","D","23,817","D","D","D"
"California","33612","Heavy Duty Truck Manufacturing","2022","10","10","1,015,082","D","D","1,000 to 2,499 employees","D","D","D","D","D","D","582","D","D","D","D","D","767,022","633,222","121,138","D","1,192","D","D","0","0","323,522","207,722","D","D","120,976","226,877","86,047","76,161","64,669","D","D","D","D","D","D","D","D","D","0","0","0","198,646","D","D","D","4,183","D","D","62,083","D","5,580","D","D","D","1,113","788","D","762","D","37,003","Less than 10%","D","D"
"California","336120","Heavy Duty Truck Manufacturing","2022","10","10","1,015,082","D","D","1,000 to 2,499 employees","D","D","D","D","D","D","582","D","D","D","D","D","767,022","633,222","121,138","D","1,192","D","D","0","0","323,522","207,722","D","D","120,976","226,877","86,047","76,161","64,669","D","D","D","D","D","D","D","D","D","0","0","0","198,646","D","D","D","4,183","D","D","62,083","D","5,580","D","D","D","1,113","788","D","762","D","37,003","Less than 10%","D","D"
"California","3362","Motor Vehicle Body and Trailer Manufacturing","2022","192","205","D","407,207","101,141","7,553","265,067","64,744","5,844","10,924","142,140","36,397","1,709","93,862","30,366","848","9,293","53,355","1,474,831","1,409,638","D","24,261","D","D","46,330","0","0","D","292,463","D","D","D","351,243","86,724","80,716","183,803","308,520","106,644","201,876","43,733","D","D","D","D","D","2,153","688","1,465","350,100","112,834","237,266","32,201","30,295","24,604","5,691","166,304","22,721","8,916","4,619","2,027","2,518","7,162","D","7,286","16,879","D","85,692","D","20% to less than 30%","40% to less than 50%"
"California","33621","Motor Vehicle Body and Trailer Manufacturing","2022","192","205","D","407,207","101,141","7,553","265,067","64,744","5,844","10,924","142,140","36,397","1,709","93,862","30,366","848","9,293","53,355","1,474,831","1,409,638","D","24,261","D","D","46,330","0","0","D","292,463","D","D","D","351,243","86,724","80,716","183,803","308,520","106,644","201,876","43,733","D","D","D","D","D","2,153","688","1,465","350,100","112,834","237,266","32,201","30,295","24,604","5,691","166,304","22,721","8,916","4,619","2,027","2,518","7,162","D","7,286","16,879","D","85,692","D","20% to less than 30%","40% to less than 50%"
"California","336211","Motor Vehicle Body Manufacturing","2022","94","103","1,203,673","241,957","58,160","4,323","148,811","36,074","3,297","6,395","93,146","22,086","1,026","54,297","17,728","731","7,663","28,175","752,379","713,207","D","18,101","2,142","D","31,898","0","0","474,092","160,216","D","D","74,551","193,422","49,954","58,509","84,959","173,588","50,855","122,733","30,818","2,092","28,726","D","D","D","934","D","D","203,472","52,547","150,925","21,525","18,663","17,763","900","76,755","6,524","D","3,589","1,069","1,672","4,706","D","1,939","10,037","3,204","41,210","40% to less than 50%","20% to less than 30%","30% to less than 40%"
"California","336212","Truck Trailer Manufacturing","2022","35","36","D","66,256","15,685","1,226","50,002","11,664","1,014","1,711","16,254","4,021","212","19,865","D","D","833","13,569","354,756","334,357","D","D","1,319","948","5,208","0","0","D","68,138","13,321","11,183","43,634","71,607","13,636","11,820","46,151","71,155","29,721","41,434","D","D","D","D","D","D","D","D","D","76,910","31,519","45,391","6,325","7,410","2,951","4,459","49,882","D","D","D","692","499","1,393","862","D","1,846","1,118","24,480","D","50% to less than 60%","50% to less than 60%"
"California","336213","Motor Home Manufacturing","2022","13","13","D","6,006","1,417","120","4,133","989","94","157","1,873","428","26","923","D","D","D","620","25,520","23,803","D","D","D","D","276","0","0","D","6,493","1,670","2,528","2,295","7,442","2,185","2,732","2,525","3,825","D","D","386","D","D","D","D","D","0","0","0","4,211","D","D","314","404","D","D","2,183","D","7","D","9","28","D","D","D","103","205","1,438","D","Less than 10%","60% to less than 70%"
"California","336214","Travel Trailer and Camper Manufacturing","2022","52","53","D","92,988","25,879","1,884","62,121","16,017","1,439","2,661","30,867","9,862","445","18,777","D","D","D","10,991","342,176","338,271","D","D","D","D","8,948","0","0","D","57,616","D","D","D","78,772","20,949","7,655","50,168","59,952","D","D","D","D","D","D","D","D","D","D","D","65,507","D","D","4,037","3,818","D","D","37,484","8,615","D","D","257","319","D","D","1,094","4,893","D","18,564","D","20% to less than 30%","30% to less than 40%"
