"Geographic Area Name (NAME)","2022 NAICS code (NAICS2022)","Meaning of NAICS code (NAICS2022_LABEL)","Year (YEAR)","Number of firms (FIRM)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue ($1,000) (RCPTOT)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)","Production and/or development and exploration workers annual wages ($1,000) (PAYANPW)","Production workers first-quarter payroll ($1,000) (PAYQ1PW)","Production and/or development and exploration workers for pay period including March 12 (EMPQ1PW)","Construction, production and/or development and exploration workers annual hours (1,000) (HOURS)","Other employees annual wages ($1,000) (PAYANOM)","Other employees first-quarter payroll ($1,000) (PAYQ1OM)","Other employees for pay period including March 12 (EMPQ1OM)","Total fringe benefits ($1,000) (BENEFIT)","Employer's cost for health insurance ($1,000) (BENHEA)","Employer's cost for defined benefit pension plans ($1,000) (BENPEB)","Employer's cost for defined contribution plans ($1,000) (BENPEC)","Employer's cost for other fringe benefits ($1,000) (BENOTH)","Total cost of supplies and/or materials ($1,000) (CSTMTOT)","Cost of materials, components, packaging and/or supplies used, minerals received, or purchased machinery installed ($1,000) (CSTMPRT)","Cost of resales ($1,000) (CSTRSL)","Cost of contract work ($1,000) (CSTCNT)","Cost of purchased fuels consumed ($1,000) (CSTFU)","Cost of purchased electricity ($1,000) (CSTELEC)","Quantity of electricity purchased for heat and power (1,000 kWh) (ELECPCH)","Quantity of generated electricity (1,000 kWh) (ELECGEN)","Quantity of electricity sold or transferred (1,000 kWh) (ELECSLD)","Value added ($1,000) (VALADD)","Total inventories, beginning of year ($1,000) (INVTOTB)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, beginning of year ($1,000) (INVFINB)","Work-in-process inventories, beginning of year ($1,000) (INVWIPB)","Materials and/or supplies, parts, fuels, etc. inventories, beginning of year ($1,000) (INVMATB)","Total inventories, end of year ($1,000) (INVTOTE)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, end of year ($1,000) (INVFINE)","Work-in-process inventories, end of year ($1,000) (INVWIPE)","Materials and/or supplies, parts, fuels, etc. inventories, end of year ($1,000) (INVMATE)","Gross value of depreciable assets (acquisition costs), beginning of year ($1,000) (ASTBGN)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, beginning of year ($1,000) (ASTBBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, beginning of year ($1,000) (ASTBMCH)","Total capital expenditures for buildings, structures, machinery, and equipment (new and used) ($1,000) (CEXTOT)","Capital expenditures for buildings and other structures ($1,000) (CEXBLD)","Capital expenditures for machinery and equipment ($1,000) (CEXMCH)","Capital expenditures for automobiles, trucks, etc. for highway use ($1,000) (CEXMCHA)","Capital expenditures for computers and peripheral data processing equipment ($1,000) (CEXMCHC)","Capital expenditures for all other machinery and equipment ($1,000) (CEXMCHO)","Total retirements ($1,000) (ASRET)","Retirements for buildings and other structures ($1,000) (ASRBLD)","Retirements for machinery and equipment ($1,000) (ASRMCH)","Gross value of depreciable assets (acquisition costs, end of year) ($1,000) (ASTEND)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, end of year ($1,000) (ASTEBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, end of year ($1,000) (ASTEMCH)","Total depreciation during year ($1,000) (DPRTOT)","Total rental payments or lease payments ($1,000) (RPTOT)","Rental payments or lease payments for buildings and other structures ($1,000) (RPBLD)","Rental payments or lease payments for machinery and equipment ($1,000) (RPMCH)","Total other operating expenses ($1,000) (PCHTT)","Temporary staff and leased employee expenses ($1,000) (PCHTEMP)","Expensed computer hardware and other equipment ($1,000) (PCHCMPQ)","Expensed purchases of software ($1,000) (PCHEXSO)","Data processing and other purchased computer services ($1,000) (PCHDAPR)","Communication services ($1,000) (PCHCSVC)","Repair and maintenance services of buildings and/or machinery ($1,000) (PCHRPR)","Refuse removal (including hazardous waste) services ($1,000) (PCHRFUS)","Advertising and promotional services ($1,000) (PCHADVT)","Purchased professional and technical services ($1,000) (PCHPRTE)","Taxes and license fees ($1,000) (PCHTAX)","All other operating expenses ($1,000) (PCHOEXP)","Range indicating imputed percentage of total sales, value of shipments, or revenue (RCPTOT_IMP)","Range indicating imputed percentage of total annual payroll (PAYANN_IMP)","Range indicating imputed percentage of total employees (EMP_IMP)"
"California","31-33","Manufacturing","2022","33,380","36,069","656,146,039","92,210,220","23,342,016","1,181,588","44,364,707","10,915,563","768,008","1,486,049","47,845,513","12,426,453","413,580","26,280,745","9,078,408","1,730,843","2,865,530","12,605,964","350,660,755","320,795,140","14,887,375","6,077,466","3,804,348","5,096,426","35,667,620","8,314,522","1,224,759","312,656,312","86,755,500","33,509,051","25,013,116","28,233,333","98,452,193","37,393,786","28,299,409","32,758,998","222,587,292","64,134,468","158,452,824","15,347,320","4,145,483","11,201,837","774,856","654,159","9,772,822","5,036,776","1,126,266","3,910,510","232,897,836","67,153,685","165,744,151","17,402,995","6,800,068","5,408,805","1,391,263","51,891,980","5,542,990","783,821","999,493","644,515","796,485","5,420,847","1,557,936","3,013,691","7,086,871","3,607,767","22,437,564","40% to less than 50%","20% to less than 30%","30% to less than 40%"
"California","311","Food Manufacturing","2022","3,567","3,975","97,522,809","9,536,266","2,289,445","174,387","6,234,741","1,482,071","132,849","261,833","3,301,525","807,374","41,538","2,795,775","1,075,497","147,935","188,532","1,383,811","62,657,059","59,072,899","1,432,309","667,623","562,373","921,855","6,387,425","1,306,047","3,793","35,658,224","10,616,216","5,182,056","1,614,498","3,819,662","11,594,586","5,924,454","1,664,574","4,005,558","32,040,790","8,764,946","23,275,844","1,905,752","430,972","1,474,780","89,410","55,151","1,330,219","899,894","203,664","696,230","33,046,648","8,992,254","24,054,394","2,242,669","893,499","638,498","255,001","6,399,778","1,155,480","59,458","68,172","44,726","62,666","950,869","355,736","440,423","380,349","298,953","2,582,946","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"California","3111","Animal Food Manufacturing","2022","128","148","6,573,124","301,713","73,880","4,254","166,853","40,686","2,810","5,866","134,860","33,194","1,444","77,130","26,230","1,492","9,344","40,064","5,154,339","4,834,766","D","D","20,496","36,991","247,535","D","0","1,445,079","408,253","163,091","14,576","230,586","474,878","188,562","15,399","270,917","1,488,182","447,147","1,041,035","69,724","23,709","46,015","4,159","752","41,104","13,184","2,114","11,070","1,544,722","468,742","1,075,980","82,481","26,162","16,189","9,973","232,817","15,266","3,098","2,666","3,420","4,301","47,231","7,087","19,902","16,192","11,637","102,017","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"California","31111","Animal Food Manufacturing","2022","128","148","6,573,124","301,713","73,880","4,254","166,853","40,686","2,810","5,866","134,860","33,194","1,444","77,130","26,230","1,492","9,344","40,064","5,154,339","4,834,766","D","D","20,496","36,991","247,535","D","0","1,445,079","408,253","163,091","14,576","230,586","474,878","188,562","15,399","270,917","1,488,182","447,147","1,041,035","69,724","23,709","46,015","4,159","752","41,104","13,184","2,114","11,070","1,544,722","468,742","1,075,980","82,481","26,162","16,189","9,973","232,817","15,266","3,098","2,666","3,420","4,301","47,231","7,087","19,902","16,192","11,637","102,017","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"California","311111","Dog and Cat Food Manufacturing","2022","48","50","1,139,043","117,431","28,807","1,604","74,002","18,280","1,182","2,566","43,429","10,527","422","25,723","7,783","D","D","15,054","686,582","649,174","D","D","6,112","13,570","83,239","D","0","456,869","106,608","64,127","4,720","37,761","129,663","67,923","5,332","56,408","565,127","183,557","381,570","34,073","12,996","21,077","276","349","20,452","3,686","D","D","595,514","196,008","399,506","35,554","10,154","7,685","2,469","77,969","5,568","1,529","667","358","902","14,551","3,016","14,852","3,345","3,688","29,493","40% to less than 50%","20% to less than 30%","20% to less than 30%"
"California","311119","Other Animal Food Manufacturing","2022","81","98","5,434,081","184,282","45,073","2,650","92,851","22,406","1,628","3,300","91,431","22,667","1,022","51,407","18,447","D","D","25,010","4,467,757","4,185,592","D","D","14,384","23,421","164,296","D","0","988,210","301,645","98,964","9,856","192,825","345,215","120,639","10,067","214,509","923,055","263,590","659,465","35,651","10,713","24,938","3,883","403","20,652","9,498","D","D","949,208","272,734","676,474","46,927","16,008","8,504","7,504","154,848","9,698","1,569","1,999","3,062","3,399","32,680","4,071","5,050","12,847","7,949","72,524","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"California","3112","Grain and Oilseed Milling","2022","103","110","5,074,582","259,294","66,207","4,358","169,659","42,487","3,348","6,295","89,635","23,720","1,010","80,086","34,301","6,242","7,630","31,913","4,134,816","3,985,966","45,680","29,992","17,217","55,961","337,111","10,850","D","1,019,040","538,879","153,487","91,795","293,597","654,646","200,653","123,903","330,090","1,330,598","396,230","934,368","92,770","65,188","27,582","7,780","733","19,069","87,629","26,499","61,130","1,335,739","434,919","900,820","69,732","28,212","18,803","9,409","201,662","16,957","2,979","2,161","1,818","2,036","30,710","7,903","27,073","15,972","11,447","82,606","10% to less than 20%","30% to less than 40%","30% to less than 40%"
"California","31121","Flour Milling and Malt Manufacturing","2022","45","51","2,209,393","150,558","39,173","2,512","89,895","22,847","1,827","3,448","60,663","16,326","685","42,907","18,955","1,696","5,456","16,800","1,642,788","1,527,981","D","23,415","D","39,602","235,893","10,850","D","605,269","314,453","59,885","23,404","231,164","364,395","73,932","48,021","242,442","816,385","238,772","577,613","D","D","12,591","D","448","D","D","D","D","800,716","249,030","551,686","37,432","15,541","8,796","6,745","100,562","11,363","2,505","1,347","1,193","1,030","10,544","2,589","24,677","9,745","7,111","28,458","10% to less than 20%","20% to less than 30%","20% to less than 30%"
"California","311211","Flour Milling","2022","26","30","D","D","D","500 to 999 employees","D","D","D","D","21,479","5,353","214","D","6,198","505","2,018","D","D","D","D","D","D","24,713","164,782","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","151","D","D","D","23,479","422,273","133,158","289,115","23,922","5,837","2,105","3,732","D","2,412","220","D","D","D","D","558","D","2,077","3,198","D","D","D","D"
"California","311212","Rice Milling","2022","D","D","1,277,309","96,371","25,790","1,676","57,187","14,817","1,205","2,348","39,184","10,973","471","27,980","12,757","1,191","3,438","10,594","999,213","940,826","21,043","D","D","D","D","D","0","310,328","258,489","49,634","13,993","194,862","290,403","57,570","38,289","194,544","388,395","119,406","268,989","D","D","D","2,978","297","D","D","D","D","D","D","D","D","9,704","6,691","3,013","78,122","8,951","2,285","D","D","D","6,193","2,031","D","7,668","3,913","20,119","Less than 10%","10% to less than 20%","20% to less than 30%"
"California","31122","Starch and Vegetable Fats and Oils Manufacturing","2022","45","46","2,814,260","99,262","24,797","1,661","73,037","18,057","1,364","2,546","26,225","6,740","297","34,577","14,398","D","D","13,641","2,469,573","2,437,372","D","D","D","15,621","97,098","0","0","385,113","222,647","92,953","68,368","61,326","287,527","125,935","75,812","85,780","483,165","149,935","333,230","D","D","14,695","4,533","278","9,884","D","D","D","503,630","178,317","325,313","30,560","12,354","D","D","98,004","5,529","441","807","620","954","18,877","5,083","2,239","6,130","4,170","53,154","10% to less than 20%","40% to less than 50%","50% to less than 60%"
"California","311221","Wet Corn Milling and Starch Manufacturing","2022","5","5","51,085","2,662","702","48","1,660","461","34","68","1,002","241","14","820","D","D","0","D","34,354","D","0","D","D","1,203","7,247","0","0","18,013","7,472","D","D","2,321","8,537","5,787","646","2,104","D","D","19,301","D","0","D","0","0","D","0","0","0","D","D","19,318","2,373","331","D","D","2,988","D","D","D","D","D","331","97","D","178","118","1,465","10% to less than 20%","50% to less than 60%","60% to less than 70%"
"California","311224","Soybean and Other Oilseed Processing","2022","14","14","292,784","17,038","4,130","297","11,891","2,859","229","388","5,147","1,271","68","4,992","D","D","D","D","205,031","D","D","D","1,376","2,807","13,255","0","0","89,526","30,332","D","D","8,529","32,508","16,506","7,070","8,932","80,521","20,862","59,659","837","D","D","D","D","D","D","D","D","D","D","40,172","3,551","715","359","356","13,326","D","242","D","D","602","2,261","429","D","525","765","6,909","40% to less than 50%","10% to less than 20%","10% to less than 20%"
"California","311225","Fats and Oils Refining and Blending","2022","26","27","2,470,391","79,562","19,965","1,316","59,486","14,737","1,101","2,090","20,076","5,228","215","28,765","12,536","4,111","1,570","10,548","2,230,188","2,206,176","D","4,895","D","11,611","76,596","0","0","277,574","184,843","73,839","60,528","50,476","246,482","103,642","68,096","74,744","D","D","254,270","D","D","13,965","D","D","9,243","D","D","D","424,231","158,408","265,823","24,636","11,308","9,162","2,146","81,690","3,887","D","737","381","D","16,285","4,557","1,916","5,427","3,287","44,780","10% to less than 20%","40% to less than 50%","60% to less than 70%"
"California","31123","Breakfast Cereal Manufacturing","2022","13","13","50,929","9,474","2,237","185","6,727","1,583","157","301","2,747","654","28","2,602","948","D","D","1,472","22,455","20,613","0","D","D","738","4,120","0","0","28,658","1,779","649","23","1,107","2,724","786","70","1,868","31,048","7,523","23,525","345","49","296","D","7","D","0","0","0","31,393","7,572","23,821","1,740","317","D","D","3,096","65","33","7","5","52","1,289","231","157","97","166","994","80% to less than 90%","50% to less than 60%","Less than 10%"
"California","311230","Breakfast Cereal Manufacturing","2022","13","13","50,929","9,474","2,237","185","6,727","1,583","157","301","2,747","654","28","2,602","948","D","D","1,472","22,455","20,613","0","D","D","738","4,120","0","0","28,658","1,779","649","23","1,107","2,724","786","70","1,868","31,048","7,523","23,525","345","49","296","D","7","D","0","0","0","31,393","7,572","23,821","1,740","317","D","D","3,096","65","33","7","5","52","1,289","231","157","97","166","994","80% to less than 90%","50% to less than 60%","Less than 10%"
"California","3113","Sugar and Confectionery Product Manufacturing","2022","204","214","3,745,108","634,660","157,184","10,533","355,747","85,776","6,499","13,167","278,913","71,408","4,034","197,730","78,314","12,727","18,469","88,220","2,340,327","1,897,235","D","D","42,010","26,944","155,617","D","D","1,452,619","506,109","241,539","42,189","222,381","580,407","274,012","57,554","248,841","1,852,621","488,070","1,364,551","D","D","62,156","935","6,282","54,939","D","D","D","1,913,761","495,902","1,417,859","134,498","105,831","91,464","14,367","268,692","30,312","3,662","4,477","2,946","3,029","52,827","8,495","16,044","20,838","14,066","111,996","30% to less than 40%","10% to less than 20%","40% to less than 50%"
"California","31131","Sugar Manufacturing","2022","8","9","953,879","107,173","23,765","1,426","67,165","14,360","1,194","2,434","40,008","9,405","232","29,811","10,396","D","D","14,733","737,680","699,514","D","D","D","2,277","14,577","D","0","210,915","183,613","93,334","D","D","179,945","86,689","D","D","D","D","601,611","D","D","D","D","D","D","0","0","0","708,703","91,666","617,037","51,185","11,311","5,026","6,285","67,922","2,377","705","1,191","D","D","25,901","D","D","7,211","3,678","15,903","20% to less than 30%","30% to less than 40%","20% to less than 30%"
"California","311314","Cane Sugar Manufacturing","2022","D","D","D","D","D","1,000 to 2,499 employees","D","D","D","D","D","D","D","D","D","D","2,794","D","D","D","D","D","D","D","D","D","0","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","0","D","D","0","0","0","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D"
"California","31134","Nonchocolate Confectionery Manufacturing","2022","72","73","982,690","162,725","41,885","2,430","83,934","20,481","1,596","3,352","78,791","21,404","834","37,021","13,961","D","D","17,320","503,168","472,009","D","D","6,261","D","73,614","D","D","518,312","110,697","48,885","D","D","156,551","74,203","D","D","D","D","278,727","D","D","D","D","D","D","D","0","D","333,754","37,233","296,521","27,610","14,270","13,151","1,119","64,196","14,994","1,776","70","D","D","9,659","D","D","2,762","3,939","26,924","40% to less than 50%","Less than 10%","Less than 10%"
"California","311340","Nonchocolate Confectionery Manufacturing","2022","72","73","982,690","162,725","41,885","2,430","83,934","20,481","1,596","3,352","78,791","21,404","834","37,021","13,961","D","D","17,320","503,168","472,009","D","D","6,261","D","73,614","D","D","518,312","110,697","48,885","D","D","156,551","74,203","D","D","D","D","278,727","D","D","D","D","D","D","D","0","D","333,754","37,233","296,521","27,610","14,270","13,151","1,119","64,196","14,994","1,776","70","D","D","9,659","D","D","2,762","3,939","26,924","40% to less than 50%","Less than 10%","Less than 10%"
"California","31135","Chocolate and Confectionery Manufacturing","2022","125","132","1,808,539","364,762","91,534","6,677","204,648","50,935","3,709","7,381","160,114","40,599","2,968","130,898","53,957","8,179","12,595","56,167","1,099,479","725,712","D","D","D","D","67,426","D","0","723,392","211,799","99,320","8,008","104,471","243,911","113,120","8,540","122,251","851,584","367,371","484,213","28,300","3,745","24,555","D","D","19,583","8,580","D","D","871,304","367,003","504,301","55,703","80,250","73,287","6,963","136,574","12,941","1,181","3,216","2,281","1,844","17,267","4,732","6,629","10,865","6,449","69,169","30% to less than 40%","20% to less than 30%","60% to less than 70%"
"California","311351","Chocolate and Confectionery Manufacturing from Cacao Beans","2022","49","52","516,999","86,592","22,892","1,359","52,353","14,047","1,022","2,022","34,239","8,845","337","25,460","9,907","D","D","10,532","354,840","D","D","641","D","4,463","26,627","D","0","166,142","89,138","46,704","4,791","37,643","98,552","50,429","5,049","43,074","262,797","106,676","156,121","6,858","969","5,889","D","D","5,575","3,704","D","D","265,951","106,093","159,858","17,098","30,536","28,231","2,305","50,777","3,995","293","267","725","496","4,109","1,651","3,849","4,590","2,194","28,608","50% to less than 60%","20% to less than 30%","70% to less than 80%"
"California","311352","Confectionery Manufacturing from Purchased Chocolate","2022","76","80","1,291,540","278,170","68,642","5,318","152,295","36,888","2,687","5,359","125,875","31,754","2,631","105,438","44,050","D","D","45,635","744,639","D","D","D","D","D","40,799","0","0","557,250","122,661","52,616","3,217","66,828","145,359","62,691","3,491","79,177","588,787","260,695","328,092","21,442","2,776","18,666","D","D","14,008","4,876","D","D","605,353","260,910","344,443","38,605","49,714","45,056","4,658","85,797","8,946","888","2,949","1,556","1,348","13,158","3,081","2,780","6,275","4,255","40,561","30% to less than 40%","20% to less than 30%","60% to less than 70%"
"California","3114","Fruit and Vegetable Preserving and Specialty Food Manufacturing","2022","318","363","13,650,822","1,491,796","345,035","27,012","1,021,751","228,754","21,803","43,608","470,045","116,281","5,209","488,983","186,936","27,788","27,763","246,496","7,866,469","7,381,100","103,203","52,004","153,515","176,647","1,073,901","12,423","D","6,361,585","2,938,759","1,951,058","328,836","658,865","3,664,388","2,502,386","354,740","807,262","5,826,460","1,272,220","4,554,240","395,611","63,448","332,163","13,514","6,000","312,649","209,648","29,885","179,763","6,012,423","1,305,783","4,706,640","438,531","137,825","87,726","50,099","1,194,651","215,027","11,744","6,877","7,476","7,787","169,248","73,543","86,677","52,534","66,700","497,038","40% to less than 50%","20% to less than 30%","20% to less than 30%"
"California","31141","Frozen Food Manufacturing","2022","124","136","4,467,424","546,300","131,636","11,008","411,066","97,634","9,237","18,506","135,234","34,002","1,771","157,452","63,660","5,068","8,179","80,545","2,690,754","2,565,042","3,903","18,746","25,154","77,909","494,876","D","0","1,884,915","651,661","436,681","44,276","170,704","781,445","566,975","22,227","192,243","1,847,507","426,191","1,421,316","206,867","21,224","185,643","9,904","2,950","172,789","59,318","13,602","45,716","1,995,056","433,813","1,561,243","138,376","52,108","33,700","18,408","357,934","112,090","5,127","2,068","1,100","2,667","43,903","23,488","9,315","14,878","18,411","124,887","40% to less than 50%","30% to less than 40%","10% to less than 20%"
"California","311411","Frozen Fruit, Juice, and Vegetable Manufacturing","2022","37","43","1,824,640","146,336","32,843","2,917","121,120","26,577","2,559","5,964","25,216","6,266","358","52,461","17,321","3,049","2,912","29,179","1,178,489","1,124,894","0","12,031","8,312","33,252","203,934","0","0","698,705","460,027","346,013","38,179","75,835","516,878","422,222","14,524","80,132","796,032","136,405","659,627","35,810","1,290","34,520","D","143","D","53,239","13,009","40,230","778,603","124,686","653,917","55,473","21,141","9,762","11,379","117,051","30,037","651","300","339","631","18,759","11,501","5,838","5,419","7,499","36,077","50% to less than 60%","40% to less than 50%","30% to less than 40%"
"California","311412","Frozen Specialty Food Manufacturing","2022","87","93","2,642,784","399,964","98,793","8,091","289,946","71,057","6,678","12,542","110,018","27,736","1,413","104,991","46,339","2,019","5,267","51,366","1,512,265","1,440,148","3,903","6,715","16,842","44,657","290,942","D","0","1,186,210","191,634","90,668","6,097","94,869","264,567","144,753","7,703","112,111","1,051,475","289,786","761,689","171,057","19,934","151,123","D","2,807","D","6,079","593","5,486","1,216,453","309,127","907,326","82,903","30,967","23,938","7,029","240,883","82,053","4,476","1,768","761","2,036","25,144","11,987","3,477","9,459","10,912","88,810","40% to less than 50%","20% to less than 30%","Less than 10%"
"California","31142","Fruit and Vegetable Canning, Pickling, and Drying","2022","196","227","9,183,398","945,496","213,399","16,004","610,685","131,120","12,566","25,102","334,811","82,279","3,438","331,531","123,276","22,720","19,584","165,951","5,175,715","4,816,058","99,300","33,258","128,361","98,738","579,025","D","D","4,476,670","2,287,098","1,514,377","284,560","488,161","2,882,943","1,935,411","332,513","615,019","3,978,953","846,029","3,132,924","188,744","42,224","146,520","3,610","3,050","139,860","150,330","16,283","134,047","4,017,367","871,970","3,145,397","300,155","85,717","54,026","31,691","836,717","102,937","6,617","4,809","6,376","5,120","125,345","50,055","77,362","37,656","48,289","372,151","30% to less than 40%","10% to less than 20%","20% to less than 30%"
"California","311421","Fruit and Vegetable Canning","2022","113","125","6,123,329","590,047","130,206","9,844","413,517","85,519","7,942","15,844","176,530","44,687","1,902","199,262","75,925","14,447","10,029","98,861","3,606,213","3,328,691","87,170","10,632","104,753","74,967","439,821","D","D","2,928,372","1,627,867","1,170,159","176,848","280,860","2,088,195","1,563,791","194,472","329,932","3,110,978","609,133","2,501,845","105,789","9,075","96,714","2,832","1,458","92,424","137,979","8,949","129,030","3,078,788","609,259","2,469,529","247,589","48,629","31,925","16,704","524,317","61,207","1,793","3,357","2,768","3,539","91,254","33,795","49,180","24,503","37,561","215,360","40% to less than 50%","20% to less than 30%","30% to less than 40%"
"California","311422","Specialty Canning","2022","22","22","415,127","42,628","10,103","613","27,625","6,720","497","1,343","15,003","3,383","116","14,577","5,772","D","D","7,381","214,262","209,362","D","D","1,939","2,052","12,284","0","0","205,450","34,879","17,740","8,672","8,467","39,602","21,908","9,089","8,605","116,447","29,661","86,786","D","D","D","24","109","D","D","D","0","131,222","23,716","107,506","8,766","5,216","3,299","1,917","33,820","3,049","37","33","163","363","4,272","3,990","2,232","1,866","1,635","16,180","30% to less than 40%","Less than 10%","30% to less than 40%"
"California","311423","Dried and Dehydrated Food Manufacturing","2022","63","80","2,644,942","312,821","73,090","5,547","169,543","38,881","4,127","7,915","143,278","34,209","1,420","117,692","41,579","D","D","59,709","1,355,240","1,278,005","D","D","21,669","21,719","126,920","D","0","1,342,848","624,352","326,478","99,040","198,834","755,146","349,712","128,952","276,482","751,528","207,235","544,293","D","D","D","754","1,483","D","D","D","5,017","807,357","238,995","568,362","43,800","31,872","18,802","13,070","278,580","38,681","4,787","1,419","3,445","1,218","29,819","12,270","25,950","11,287","9,093","140,611","20% to less than 30%","Less than 10%","10% to less than 20%"
"California","3115","Dairy Product Manufacturing","2022","190","230","21,543,437","1,312,933","318,674","18,851","876,569","211,254","14,411","28,934","436,364","107,420","4,440","461,398","199,307","46,996","33,770","181,325","16,721,666","15,877,973","268,768","238,290","142,456","194,179","1,566,772","D","0","4,907,756","1,012,476","703,926","36,121","272,429","1,118,519","781,507","44,525","292,487","6,859,198","1,792,796","5,066,402","468,915","110,820","358,095","9,704","17,140","331,251","120,880","4,473","116,407","7,207,233","1,899,143","5,308,090","391,591","75,768","44,401","31,367","1,014,803","103,748","5,921","4,248","6,019","6,184","186,871","111,045","26,880","44,890","58,375","460,622","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"California","31151","Dairy Product (except Frozen) Manufacturing","2022","108","144","20,140,432","1,116,937","271,859","15,787","742,805","178,298","12,105","24,439","374,132","93,561","3,682","390,590","171,738","42,831","27,022","148,999","15,936,448","15,124,430","260,070","236,514","139,212","176,222","1,438,874","D","0","4,284,743","871,901","615,853","32,777","223,271","980,662","689,230","40,159","251,273","6,386,257","1,647,074","4,739,183","445,704","108,189","337,515","8,649","17,069","311,797","113,792","D","D","6,718,169","1,752,108","4,966,061","359,418","64,566","35,746","28,820","886,016","74,259","5,568","3,701","5,880","4,998","157,221","95,465","15,442","32,944","48,538","442,000","20% to less than 30%","20% to less than 30%","20% to less than 30%"
"California","311511","Fluid Milk Manufacturing","2022","43","54","6,744,307","467,571","112,079","6,475","282,947","64,631","4,512","8,750","184,624","47,448","1,963","160,575","73,012","21,340","8,553","57,670","4,512,722","3,959,297","237,024","231,163","31,882","53,356","388,381","D","0","2,247,332","241,854","D","D","99,136","279,662","152,736","5,729","121,197","2,270,909","620,113","1,650,796","191,438","67,690","123,748","5,265","2,295","116,188","73,317","1,291","72,026","2,389,030","686,512","1,702,518","155,781","29,074","10,309","18,765","327,233","39,592","853","849","2,941","2,410","48,954","45,567","7,871","16,514","23,209","138,473","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"California","311512","Creamery Butter Manufacturing","2022","6","10","D","81,727","19,027","1,088","D","10,770","864","1,909","D","8,257","224","D","D","D","D","8,413","D","D","D","D","D","D","D","D","0","D","D","D","D","4,068","88,394","76,297","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","1,119","D","D","D","D","D","D","D","D","D","D","68","D","D","D","D","Less than 10%","Less than 10%"
"California","311513","Cheese Manufacturing","2022","44","57","8,042,016","429,137","107,656","6,198","325,648","82,543","5,156","10,534","103,489","25,113","1,042","152,134","65,596","8,008","13,850","64,680","6,717,266","6,571,902","D","D","44,629","76,048","703,323","D","0","1,356,025","392,238","305,598","22,118","64,522","424,923","333,489","25,502","65,932","2,630,627","616,708","2,013,919","169,479","30,167","139,312","2,690","10,918","125,704","36,042","1,290","34,752","2,764,064","645,585","2,118,479","135,012","26,392","19,658","6,734","318,201","22,045","2,173","2,030","2,213","1,622","65,054","19,590","5,981","9,230","17,843","170,420","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"California","311514","Dry, Condensed, and Evaporated Dairy Product Manufacturing","2022","22","23","D","138,502","33,097","2,026","D","20,354","1,573","3,246","D","12,743","453","D","D","D","D","18,236","D","D","0","3,416","D","D","D","D","0","D","D","111,888","D","55,545","187,683","126,708","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","7,981","D","D","D","D","D","D","D","D","D","D","1,522","D","D","D","D","10% to less than 20%","20% to less than 30%"
"California","31152","Ice Cream and Frozen Dessert Manufacturing","2022","84","86","1,403,005","195,996","46,815","3,064","133,764","32,956","2,306","4,495","62,232","13,859","758","70,808","27,569","4,165","6,748","32,326","785,218","753,543","8,698","1,776","3,244","17,957","127,898","0","0","623,013","140,575","88,073","3,344","49,158","137,857","92,277","4,366","41,214","472,941","145,722","327,219","23,211","2,631","20,580","1,055","71","19,454","7,088","D","D","489,064","147,035","342,029","32,173","11,202","8,655","2,547","128,787","29,489","353","547","139","1,186","29,650","15,580","11,438","11,946","9,837","18,622","80% to less than 90%","60% to less than 70%","60% to less than 70%"
"California","311520","Ice Cream and Frozen Dessert Manufacturing","2022","84","86","1,403,005","195,996","46,815","3,064","133,764","32,956","2,306","4,495","62,232","13,859","758","70,808","27,569","4,165","6,748","32,326","785,218","753,543","8,698","1,776","3,244","17,957","127,898","0","0","623,013","140,575","88,073","3,344","49,158","137,857","92,277","4,366","41,214","472,941","145,722","327,219","23,211","2,631","20,580","1,055","71","19,454","7,088","D","D","489,064","147,035","342,029","32,173","11,202","8,655","2,547","128,787","29,489","353","547","139","1,186","29,650","15,580","11,438","11,946","9,837","18,622","80% to less than 90%","60% to less than 70%","60% to less than 70%"
